Index,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,feeling,place,,,,von
97,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 섭지코지,0.000108,0.00019,0.997,0
98,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 한라산국립공원,0.00351,0.0147,0.9817,1
99,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 비자림,0.0000267,0.000127,0.998,0
100,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 천지연폭포,0.000031,0.0000698,0.999,0
101,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 용머리해안,0.0000028,0.0000033,0.999,0
102,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 용두암,0.000128,0.000189,0.999,1
103,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 마라도,0.000027,0.0000432,0.999,0
104,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 우도,0.000001,0.00000138,0.999,1
105,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 가파도,0.00000534,0.00000745,0.998,1
106,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주돌문화공원,0.999,0.0000397,0.00004322,1
107,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 삼성혈,0.998,0.000045,0.0000664,1
108,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 추사관,0.15,0.84,0.00296,1
109,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주목관아,0.998,0.000036,0.000078,1
110,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 선운정사,0.989,0.0027,0.0075,1
111,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 김영갑갤러리두모악,0.785,0.153,0.0606,1
112,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 이중섭거리,0.941,0.055,0.00275,1
113,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 관덕정,0.999,0.000025,0.000037,1
114,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 너븐숭이4.3기념관,0.999,0.000048,0.000029,0
115,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주민속촌,0.998,0.000048,0.0000757,1
116,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 항파두리항몽유적지,0.999,0.0000314,0.0000489,1
117,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 성읍마을,0.999,0.0000624,0.0000475,1
118,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주세계자연유산센터,0.0281,0.931,0.04,1
119,4,2,2,3,4,4,3,4,4,3,4,3,4,4,2,4,4,4,sad, 제주민속자연사박물관,0.99,0.000437,0.000504,1
